Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-22,3038.486,3069.252,3006.267,3060.754,22385286500
2020-01-23,3037.952,3045.04,2955.346,2976.528,27276323400
2020-02-03,2716.7,2766.58,2716.7,2746.61,22965657500
2020-02-04,2685.269,2786.164,2685.269,2783.287,36404620000
2020-02-05,2792.371,2842.742,2778.864,2818.087,30976182300
2020-02-06,2826.885,2876.587,2807.609,2866.509,31639214200
2020-02-07,2858.93,2875.96,2839.24,2875.96,31678155000
2020-02-10,2860.5,2891.85,2851.05,2890.49,29492978400
2020-02-11,2894.54,2913.66,2882.28,2901.67,27588251300
2020-02-12,2895.56,2926.9,2892.42,2926.9,24873342900
2020-02-13,2927.14,2934.94,2901.59,2906.07,28141805700
2020-02-14,2899.865,2926.942,2899.573,2917.007,25065062700
2020-02-17,2924.99,2983.64,2924.99,2983.62,31319800700
2020-02-18,2981.41,2990.6,2960.78,2984.97,31166591300
2020-02-19,2979.522,2998.271,2971.821,2975.401,31514115100
2020-02-20,2981.88,3031.37,2968.45,3030.15,34573288100
2020-02-21,3022.245,3058.898,3020.141,3039.669,37159919200
2020-02-24,3027.89,3042.18,3007.36,3031.23,37043004400
2020-02-25,2982.069,3016.945,2943.716,3013.05,44162276200
2020-02-26,2978.419,3028.778,2974.942,2987.928,46904955200
2020-02-27,2992.491,3009.457,2980.477,2991.328,35651749100
2020-02-28,2924.64,2948.126,2878.544,2880.303,40121691400
2020-03-02,2899.31,2982.506,2899.31,2970.931,36733336900
2020-03-03,3006.888,3026.842,2976.685,2992.896,41845777300
2020-03-04,2981.806,3012.003,2974.358,3011.665,35333827800
2020-03-05,3036.154,3074.167,3023.189,3071.677,45095717400
2020-03-06,3039.939,3052.443,3029.463,3034.511,36206153300
2020-03-09,2987.18,2989.205,2940.713,2943.29,41456073600
2020-03-10,2918.934,3000.296,2904.798,2996.761,39329664800
2020-03-11,3001.761,3010.028,2968.517,2968.517,35841399700
2020-03-12,2936.016,2944.465,2906.283,2923.485,30777845700
2020-03-13,2804.232,2910.816,2800.679,2887.426,38154411600
2020-03-16,2897.3,2898.034,2784.661,2789.253,35187866500
2020-03-17,2796.284,2826.906,2715.221,2779.64,30614967700
2020-03-18,2792.322,2815.873,2728.756,2728.756,29115985200
2020-03-19,2719.406,2736.82,2646.804,2702.129,30230274700
2020-03-20,2727.018,2751.896,2702.493,2745.618,25201950700
2020-03-23,2677.591,2703.329,2656.5,2660.167,24982025000
2020-03-24,2703.019,2723.406,2667.133,2722.438,25702193000
2020-03-25,2775.303,2788.572,2757.954,2781.591,27807736700
2020-03-26,2761.896,2788.503,2753.428,2764.91,23408402200
2020-03-27,2792.984,2805.547,2771.757,2772.203,24448976700
